,Loading Scores,,,Rank,,,,,,,,,,,,,,
,Factor 1,Factor 2,,Factor 1,Factor 2,,Rank,,Factor 1,,,Factor 2,,,Rank,,Factor 2,
Q1,0.590993073,0.220975945,,14,32,,1,,Q17,0.878130164,,Q34,0.844936819,,1,,Q34,0.844936819
Q2,0.67176551,0.018904256,,7,40,,2,,Q15,0.848013094,,Q39,0.83510914,,2,,Q39,0.83510914
Q3,0.663187838,0.213954961,,8,34,,3,,Q4,0.711825799,,Q8,0.801237312,,3,,Q8,0.801237312
Q4,0.711825799,0.191981358,,3,35,,4,,Q10,0.703076158,,Q22,0.794093585,,4,,Q22,0.794093585
Q5,0.225375851,0.748555899,,32,7,,5,,Q11,0.676596964,,Q16,0.765148234,,5,,Q16,0.765148234
Q6,0.459709647,0.371709351,,25,25,,6,,Q36,0.673022063,,Q13,0.754865994,,6,,Q13,0.754865994
Q7,0.631809987,0.366169287,,12,26,,7,,Q2,0.67176551,,Q5,0.748555899,,7,,Q5,0.748555899
Q8,0.188856856,0.801237312,,34,3,,8,,Q3,0.663187838,,Q20,0.744777404,,8,,Q20,0.744777404
Q9,0.337236044,0.609134158,,30,10,,9,,Q18,0.649394222,,Q27,0.713252187,,9,,Q27,0.713252187
Q10,0.703076158,0.284838174,,4,29,,10,,Q38,0.644184237,,Q9,0.609134158,,10,,Q9,0.609134158
Q11,0.676596964,0.046669861,,5,38,,,,,,,,,,11,,Q26,0.597412855
Q12,0.512518781,0.578323324,,23,13,,,,,,,,,,12,,Q31,0.592248367
Q13,0.189151103,0.754865994,,33,6,,,,,,,,,,13,,Q12,0.578323324
Q14,0.468593622,0.416931485,,24,23,,,,,,,,,,14,,Q24,0.542419492
Q15,0.848013094,0.032081923,,2,39,,,,,,,,,,15,,Q32,0.504751468
Q16,0.179335794,0.765148234,,35,5,,,,,,,,,,16,,Q19,0.468649424
Q17,0.878130164,0.047362317,,1,37,,,,,,,,,,17,,Q40,0.445838433
Q18,0.649394222,0.278751401,,9,30,,,,,,,,,,18,,Q30,0.444181284
Q19,0.536431948,0.468649424,,22,16,,,,,,,,,,19,,Q28,0.44400121
Q20,0.284671795,0.744777404,,31,8,,,,,,,,,,20,,Q23,0.439887779
Q21,0.423996182,0.263084078,,27,31,,,,,,,,,,,,,
Q22,0.116484641,0.794093585,,38,4,,,,,,,,,,,,,
Q23,0.546995406,0.439887779,,18,20,,,,,,,,,,,,,
Q24,0.603876256,0.542419492,,13,14,,,,,,,,,,,,,
Q25,0.426678435,0.332049424,,26,28,,,,,,,,,,,,,
Q26,0.5881901,0.597412855,,15,11,,,,,,,,,,,,,
Q27,0.177620988,0.713252187,,36,9,,,,,,,,,,,,,
Q28,0.638740811,0.44400121,,11,19,,,,,,,,,,,,,
Q29,0.407465086,0.426876842,,28,22,,,,,,,,,,,,,
Q30,0.537733878,0.444181284,,21,18,,,,,,,,,,,,,
Q31,0.151549091,0.592248367,,37,12,,,,,,,,,,,,,
Q32,0.38689868,0.504751468,,29,15,,,,,,,,,,,,,
Q33,0.562057432,0.362030564,,17,27,,,,,,,,,,,,,
Q34,0.066258943,0.844936819,,40,1,,,,,,,,,,,,,
Q35,0.578931307,0.431244575,,16,21,,,,,,,,,,,,,
Q36,0.673022063,0.127685019,,6,36,,,,,,,,,,,,,
Q37,0.546301492,0.38231489,,19,24,,,,,,,,,,,,,
Q38,0.644184237,0.215674885,,10,33,,,,,,,,,,,,,
Q39,0.088746575,0.83510914,,39,2,,,,,,,,,,,,,
Q40,0.54264956,0.445838433,,20,17,,,,,,,,,,,,,
